"",".","confidence","matchType","synonym","usageKey","scientificName","rank","status","kingdom","phylum","order","family","genus","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","class","acceptedUsageKey","species","speciesKey"
"305","M. mexicanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Rodentia S. aurogaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Spermophilus mexicanus",98,"EXACT",TRUE,2437321,"Spermophilus mexicanus (Erxleben, 1777)","SPECIES","SYNONYM","Animalia","Chordata","Rodentia","Sciuridae","Ictidomys",1,44,359,1459,9456,4827929,"Mammalia",7679679,"Ictidomys mexicanus",7679679
"308","Crataegus mexicana",98,"EXACT",FALSE,3014233,"Crataegus mexicana Moc. & Sessé ex DC.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Rosales","Rosaceae","Crataegus",6,7707728,220,691,5015,3013395,"Magnoliopsida",NA,"Crataegus mexicana",3014233
"309","Neotoma mexicana",98,"EXACT",FALSE,2438447,"Neotoma mexicana Baird, 1855","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Neotoma",1,44,359,1459,3240723,2438433,"Mammalia",NA,"Neotoma mexicana",2438447
"310","Anniella pulchra",98,"EXACT",FALSE,2471882,"Anniella pulchra Gray, 1852","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Anguidae","Anniella",1,44,358,715,9198,2471881,"Reptilia",NA,"Anniella pulchra",2471882
"311","Spirobolidae",94,"EXACT",FALSE,8259,"Spirobolidae","FAMILY","ACCEPTED","Animalia","Arthropoda","Spirobolida","Spirobolidae",NA,1,54,361,1466,8259,NA,"Diplopoda",NA,NA,NA
"312","Diplopoda",94,"EXACT",FALSE,361,"Diplopoda","CLASS","ACCEPTED","Animalia","Arthropoda",NA,NA,NA,1,54,361,NA,NA,NA,"Diplopoda",NA,NA,NA
"313","Mollusca",94,"EXACT",FALSE,52,"Mollusca","PHYLUM","ACCEPTED","Animalia","Mollusca",NA,NA,NA,1,52,NA,NA,NA,NA,NA,NA,NA,NA
"314","Ipomoea sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Hydromantes platycephalus",98,"EXACT",FALSE,2431661,"Hydromantes platycephalus (Camp, 1916)","SPECIES","ACCEPTED","Animalia","Chordata","Caudata","Plethodontidae","Hydromantes",1,44,131,953,6748,2431660,"Amphibia",NA,"Hydromantes platycephalus",2431661
"316","Morus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Corynorthinus townsendii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Brassica",94,"EXACT",FALSE,3042506,"Brassica L.","GENUS","ACCEPTED","Plantae","Tracheophyta","Brassicales","Brassicaceae","Brassica",6,7707728,220,7225535,3112,3042506,"Magnoliopsida",NA,NA,NA
"319","Brassicaceae",96,"EXACT",FALSE,3112,"Brassicaceae","FAMILY","ACCEPTED","Plantae","Tracheophyta","Brassicales","Brassicaceae",NA,6,7707728,220,7225535,3112,NA,"Magnoliopsida",NA,NA,NA
"320","Miriapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Net-leaf Hackleberry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","Celtis reticulata",97,"EXACT",FALSE,8015178,"Celtis reticulata Boorsma, 1907","SPECIES","ACCEPTED","Plantae","Tracheophyta","Rosales","Cannabaceae","Celtis",6,7707728,220,691,2384,2984479,"Magnoliopsida",NA,"Celtis reticulata",8015178
"323","Neuroptera",92,"EXACT",FALSE,1501,"Neuroptera","ORDER","ACCEPTED","Animalia","Arthropoda","Neuroptera",NA,NA,1,54,216,1501,NA,NA,"Insecta",NA,NA,NA
"324","Neuroptera",92,"EXACT",FALSE,1501,"Neuroptera","ORDER","ACCEPTED","Animalia","Arthropoda","Neuroptera",NA,NA,1,54,216,1501,NA,NA,"Insecta",NA,NA,NA
"325","Lampropeltis zonata",98,"EXACT",FALSE,5224449,"Lampropeltis zonata (Lockington, 1835)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Colubridae","Lampropeltis",1,44,358,715,6172,9391215,"Reptilia",NA,"Lampropeltis zonata",5224449
"326","Lampropeltis getula",98,"EXACT",FALSE,9799308,"Lampropeltis getula (Linnaeus, 1766)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Colubridae","Lampropeltis",1,44,358,715,6172,9391215,"Reptilia",NA,"Lampropeltis getula",9799308
"327","Peromyscus maniculatus",98,"EXACT",FALSE,2437967,"Peromyscus maniculatus (Wagner, 1845)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Peromyscus",1,44,359,1459,3240723,2437961,"Mammalia",NA,"Peromyscus maniculatus",2437967
"328","American Water Shrew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Eumeces gilberti",98,"EXACT",TRUE,4287443,"Eumeces gilberti Van Denburgh, 1896","SPECIES","SYNONYM","Animalia","Chordata","Squamata","Scincidae","Plestiodon",1,44,358,715,9115,2462133,"Reptilia",5789627,"Plestiodon gilberti",5789627
"330","bobwhite quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","bobwite quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","Colaptes auratus",98,"EXACT",FALSE,2478259,"Colaptes auratus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","Chordata","Piciformes","Picidae","Colaptes",1,44,212,724,9333,11016979,"Aves",NA,"Colaptes auratus",2478259
"333","Glaucomys sabrinus",98,"EXACT",FALSE,2437331,"Glaucomys sabrinus (Shaw, 1801)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Sciuridae","Glaucomys",1,44,359,1459,9456,2437330,"Mammalia",NA,"Glaucomys sabrinus",2437331
"334","Baiomys taylori",98,"EXACT",FALSE,2438866,"Baiomys taylori (Thomas, 1887)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Baiomys",1,44,359,1459,3240723,2438864,"Mammalia",NA,"Baiomys taylori",2438866
"335","Quercus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Juniperus monosperma",98,"EXACT",FALSE,2684633,"Juniperus monosperma (Engelm.) Sarg.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Pinales","Cupressaceae","Juniperus",6,7707728,194,640,8144,2684359,"Pinopsida",NA,"Juniperus monosperma",2684633
"337","Araneida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Peromyscus gratus",98,"EXACT",FALSE,2437980,"Peromyscus gratus Merriam, 1898","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Peromyscus",1,44,359,1459,3240723,2437961,"Mammalia",NA,"Peromyscus gratus",2437980
"339","Taxus brevifolia",97,"EXACT",FALSE,5284555,"Taxus brevifolia Nutt.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Pinales","Taxaceae","Taxus",6,7707728,194,640,4863,2684902,"Pinopsida",NA,"Taxus brevifolia",5284555
"340","Antrozous pallidus",98,"EXACT",FALSE,2432339,"Antrozous pallidus (LeConte, 1856)","SPECIES","ACCEPTED","Animalia","Chordata","Chiroptera","Vespertilionidae","Antrozous",1,44,359,734,9368,2432337,"Mammalia",NA,"Antrozous pallidus",2432339
"341","Lysiloma candida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Leguminosae",94,"EXACT",TRUE,3960911,"Leguminosae","FAMILY","SYNONYM","Plantae","Tracheophyta","Fabales","Fabaceae",NA,6,7707728,220,1370,5386,NA,"Magnoliopsida",5386,NA,NA
"343","Pyrus (apples)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","Fabaceae",96,"EXACT",FALSE,5386,"Fabaceae","FAMILY","ACCEPTED","Plantae","Tracheophyta","Fabales","Fabaceae",NA,6,7707728,220,1370,5386,NA,"Magnoliopsida",NA,NA,NA
"345","Capscicum sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Capsicum",94,"HIGHERRANK",FALSE,2932937,"Capsicum L.","GENUS","ACCEPTED","Plantae","Tracheophyta","Solanales","Solanaceae","Capsicum",6,7707728,220,1176,7717,2932937,"Magnoliopsida",NA,NA,NA
"347","Capsicum",94,"EXACT",FALSE,2932937,"Capsicum L.","GENUS","ACCEPTED","Plantae","Tracheophyta","Solanales","Solanaceae","Capsicum",6,7707728,220,1176,7717,2932937,"Magnoliopsida",NA,NA,NA
"348","Capsicum sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","Falco peregrinus",98,"EXACT",FALSE,2481047,"Falco peregrinus Tunstall, 1771","SPECIES","ACCEPTED","Animalia","Chordata","Falconiformes","Falconidae","Falco",1,44,212,7191407,5240,2480996,"Aves",NA,"Falco peregrinus",2481047
"350","Persimmons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","Jatropha cuneata",98,"EXACT",FALSE,3073047,"Jatropha cuneata Wiggins & Rollins","SPECIES","ACCEPTED","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Jatropha",6,7707728,220,1414,4691,3072692,"Magnoliopsida",NA,"Jatropha cuneata",3073047
"352","Podilymbus podiceps",98,"EXACT",FALSE,2482077,"Podilymbus podiceps (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","Chordata","Podicipediformes","Podicipedidae","Podilymbus",1,44,212,7191588,9338,2482075,"Aves",NA,"Podilymbus podiceps",2482077
"353","Amananthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","F. Amarantaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","Hypsiglena torquata",98,"EXACT",FALSE,9230860,"Hypsiglena torquata (Günther, 1860)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Colubridae","Hypsiglena",1,44,358,715,6172,2456900,"Reptilia",NA,"Hypsiglena torquata",9230860
"356","Peromyscus truei",98,"EXACT",FALSE,2437985,"Peromyscus truei (Shufeldt, 1885)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Peromyscus",1,44,359,1459,3240723,2437961,"Mammalia",NA,"Peromyscus truei",2437985
"357","plastico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","Plastic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","Plastico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","Black Plastic Bag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","Clear Plastic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","Pocket Gophers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","Chaetodipus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Perognathus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Phytolaccaceae",96,"EXACT",FALSE,2516,"Phytolaccaceae","FAMILY","ACCEPTED","Plantae","Tracheophyta","Caryophyllales","Phytolaccaceae",NA,6,7707728,220,422,2516,NA,"Magnoliopsida",NA,NA,NA
"366","Porella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","Opuntia sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","pricklypear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","Prickly Pear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Opuntia engelmannii",98,"EXACT",FALSE,5384073,"Opuntia engelmannii Salm-Dyck","SPECIES","ACCEPTED","Plantae","Tracheophyta","Caryophyllales","Cactaceae","Opuntia",6,7707728,220,422,2519,3084187,"Magnoliopsida",NA,"Opuntia engelmannii",5384073
"371","F. Cactaceae Opuntia sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Prunus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","plum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","wild plums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","prune",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Pseudoscorpiones O. Seudoescropion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Antigonon leptopus",98,"EXACT",FALSE,2889355,"Antigonon leptopus Hook. & Arn.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Caryophyllales","Polygonaceae","Antigonon",6,7707728,220,422,2416,2889351,"Magnoliopsida",NA,"Antigonon leptopus",2889355
"378","rabbits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Elgaria coerulea",98,"EXACT",FALSE,2468254,"Elgaria coerulea (Wiegmann, 1828)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Anguidae","Elgaria",1,44,358,715,9198,2468246,"Reptilia",NA,"Elgaria coerulea",2468254
"380","Pituophis melanoleucus",98,"EXACT",FALSE,9187223,"Pituophis melanoleucus (Daudin, 1803)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Colubridae","Pituophis",1,44,358,715,6172,2453825,"Reptilia",NA,"Pituophis melanoleucus",9187223
"381","Pleocoma",94,"EXACT",FALSE,1073184,"Pleocoma LeConte, 1856","GENUS","ACCEPTED","Animalia","Arthropoda","Coleoptera","Pleocomidae","Pleocoma",1,54,216,1470,5841,1073184,"Insecta",NA,NA,NA
"382","Muridae",94,"EXACT",FALSE,5510,"Muridae","FAMILY","ACCEPTED","Animalia","Chordata","Rodentia","Muridae",NA,1,44,359,1459,5510,NA,"Mammalia",NA,NA,NA
"383","Rattus",92,"HIGHERRANK",FALSE,2439223,"Rattus Fischer, 1803","GENUS","ACCEPTED","Animalia","Chordata","Rodentia","Muridae","Rattus",1,44,359,1459,5510,2439223,"Mammalia",NA,NA,NA
"384","Rattus",92,"EXACT",FALSE,2439223,"Rattus Fischer, 1803","GENUS","ACCEPTED","Animalia","Chordata","Rodentia","Muridae","Rattus",1,44,359,1459,5510,2439223,"Mammalia",NA,NA,NA
"385","Rattus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Diadophis punctatus",98,"EXACT",FALSE,8763701,"Diadophis punctatus (Linnaeus, 1766)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Colubridae","Diadophis",1,44,358,715,6172,2459508,"Reptilia",NA,"Diadophis punctatus",8763701
"387","Charina sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Juniperus virginiana",98,"EXACT",FALSE,2684391,"Juniperus virginiana L.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Pinales","Cupressaceae","Juniperus",6,7707728,194,640,8144,2684359,"Pinopsida",NA,"Juniperus virginiana",2684391
"389","Bursera hindstana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Gallus gallus",98,"EXACT",FALSE,9326020,"Gallus gallus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","Chordata","Galliformes","Phasianidae","Gallus",1,44,212,723,9331,2473720,"Aves",NA,"Gallus gallus",9326020
"391","Phenacomys longicaudus",98,"EXACT",TRUE,9546027,"Phenacomys longicaudus (True, 1890)","SPECIES","SYNONYM","Animalia","Chordata","Rodentia","Cricetidae","Arborimus",1,44,359,1459,3240723,2437930,"Mammalia",2437931,"Arborimus longicaudus",2437931
"392","Sceloporus graciosus",98,"EXACT",FALSE,2451223,"Sceloporus graciosus Baird & Girard, 1852","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Phrynosomatidae","Sceloporus",1,44,358,715,5016,2451143,"Reptilia",NA,"Sceloporus graciosus",2451223
"393","Bassariscus astutus",98,"EXACT",FALSE,2433557,"Bassariscus astutus (Lichtenstein, 1830)","SPECIES","ACCEPTED","Animalia","Chordata","Carnivora","Procyonidae","Bassariscus",1,44,359,732,5311,2433550,"Mammalia",NA,"Bassariscus astutus",2433557
"394","Ficus palmeri",98,"EXACT",TRUE,5570098,"Ficus palmeri S.Watson","SPECIES","SYNONYM","Plantae","Tracheophyta","Rosales","Moraceae","Ficus",6,7707728,220,691,6640,2984588,"Magnoliopsida",5569649,"Ficus petiolaris",7262350
"395","Perognathus cf. intermedius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Spermophilus variegatus",98,"EXACT",TRUE,2437329,"Spermophilus variegatus (Erxleben, 1777)","SPECIES","SYNONYM","Animalia","Chordata","Rodentia","Sciuridae","Otospermophilus",1,44,359,1459,9456,4827939,"Mammalia",7572569,"Otospermophilus variegatus",7572569
"397","Citellus variegatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Rocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Unknown rodent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","rope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Rosa sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","F. Rosaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Elgaria multicarinata",98,"EXACT",FALSE,2468262,"Elgaria multicarinata (Blainville, 1835)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Anguidae","Elgaria",1,44,358,715,9198,2468246,"Reptilia",NA,"Elgaria multicarinata",2468262
"404","Coleoptera Fam Staphylinidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","F. Stafilinidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Maticophis lateralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Salmonidae",94,"EXACT",FALSE,8615,"Salmonidae","FAMILY","ACCEPTED","Animalia","Chordata","Salmoniformes","Salmonidae",NA,1,44,204,1313,8615,NA,"Actinopterygii",NA,NA,NA
"408","Dipodomys insularis",98,"EXACT",TRUE,2439518,"Dipodomys insularis Merriam, 1907","SPECIES","SYNONYM","Animalia","Chordata","Rodentia","Heteromyidae","Dipodomys",1,44,359,1459,5504,2439509,"Mammalia",4263244,"Dipodomys merriami",2439521
"409","Nitidulidae",94,"EXACT",FALSE,7840,"Nitidulidae","FAMILY","ACCEPTED","Animalia","Arthropoda","Coleoptera","Nitidulidae",NA,1,54,216,1470,7840,NA,"Insecta",NA,NA,NA
"410","F.  Nitidulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Sorex saussurei",98,"EXACT",FALSE,2436047,"Sorex saussurei Merriam, 1892","SPECIES","ACCEPTED","Animalia","Chordata","Soricomorpha","Soricidae","Sorex",1,44,359,803,5534,2435935,"Mammalia",NA,"Sorex saussurei",2436047
"412","Coleoptera Scarabeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Phyllophaga sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Coleoptera Fam. Scarabaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","F. Escarabaidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Scarabaeidae spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Scarabaidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Pyrocephalus rubinus",98,"EXACT",FALSE,2483647,"Pyrocephalus rubinus (Boddaert, 1783)","SPECIES","ACCEPTED","Animalia","Chordata","Passeriformes","Tyrannidae","Pyrocephalus",1,44,212,729,5291,2483646,"Aves",NA,"Pyrocephalus rubinus",2483647
"419","Acacia schaffneri",98,"EXACT",TRUE,2981241,"Acacia schaffneri (S.Watson) F.J.Herm.","SPECIES","SYNONYM","Plantae","Tracheophyta","Fabales","Fabaceae","Vachellia",6,7707728,220,1370,5386,8142432,"Magnoliopsida",3795405,"Vachellia schaffneri",3795405
"420","Accacia shcaffneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Scorpionidae",94,"EXACT",FALSE,4303016,"Scorpionidae","FAMILY","ACCEPTED","Animalia","Arthropoda","Scorpiones","Scorpionidae",NA,1,54,367,872,4303016,NA,"Arachnida",NA,NA,NA
"422","Scorpiones",94,"EXACT",FALSE,872,"Scorpiones","ORDER","ACCEPTED","Animalia","Arthropoda","Scorpiones",NA,NA,1,54,367,872,NA,NA,"Arachnida",NA,NA,NA
"423","Scorpiones",94,"EXACT",FALSE,872,"Scorpiones","ORDER","ACCEPTED","Animalia","Arthropoda","Scorpiones",NA,NA,1,54,367,872,NA,NA,"Arachnida",NA,NA,NA
"424","Cyperaceae",96,"EXACT",FALSE,7708,"Cyperaceae","FAMILY","ACCEPTED","Plantae","Tracheophyta","Poales","Cyperaceae",NA,6,7707728,196,1369,7708,NA,"Liliopsida",NA,NA,NA
"425","Batrachoseps kawia",98,"EXACT",FALSE,2431768,"Batrachoseps kawia Jockusch, Wake & Yanev, 1998","SPECIES","ACCEPTED","Animalia","Chordata","Caudata","Plethodontidae","Batrachoseps",1,44,131,953,6748,2431747,"Amphibia",NA,"Batrachoseps kawia",2431768
"426","Serviceberry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Gaultheria shallon",98,"EXACT",FALSE,2882758,"Gaultheria shallon Pursh","SPECIES","ACCEPTED","Plantae","Tracheophyta","Ericales","Ericaceae","Gaultheria",6,7707728,220,1353,2505,2882751,"Magnoliopsida",NA,"Gaultheria shallon",2882758
"428","Contia tenuis",98,"EXACT",FALSE,2455975,"Contia tenuis (Baird & Girard, 1852)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Colubridae","Contia",1,44,358,715,6172,2455974,"Reptilia",NA,"Contia tenuis",2455975
"429","F. Acrididae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Soricidae",94,"EXACT",FALSE,5534,"Soricidae","FAMILY","ACCEPTED","Animalia","Chordata","Soricomorpha","Soricidae",NA,1,44,359,803,5534,NA,"Mammalia",NA,NA,NA
"431","Sorex sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Perognathus flavus",98,"EXACT",FALSE,2439566,"Perognathus flavus Baird, 1855","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Heteromyidae","Perognathus",1,44,359,1459,5504,2439552,"Mammalia",NA,"Perognathus flavus",2439566
"433","Mephitis",92,"EXACT",FALSE,5219379,"Mephitis É.Geoffroy Saint-Hilaire & F.G.Cuvier, 1795","GENUS","ACCEPTED","Animalia","Chordata","Carnivora","Mephitidae","Mephitis",1,44,359,732,9679,5219379,"Mammalia",NA,NA,NA
"434","Passeriformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Colubridae genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Elgaria sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Sceloporus occidentalis",98,"EXACT",FALSE,2451234,"Sceloporus occidentalis Baird & Girard, 1852","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Phrynosomatidae","Sceloporus",1,44,358,715,5016,2451143,"Reptilia",NA,"Sceloporus occidentalis",2451234
