HarmonizedScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species
Helianthus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,x
Helops,EOL,genus,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Helops,x
Hemiptera,ITIS,order,Animalia,Arthropoda,Insecta,Hemiptera,x,x,x
Heteromys irroratus,MDD,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys irroratus
Heteroptera,ITIS,suborder,Animalia,Arthropoda,Insecta,Hemiptera,x,x,x
Heterosperma pinnatum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Heterosperma,Heterosperma pinnatum
human-influenced,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced
Hydromantes platycephalus,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hydromantes,Hydromantes platycephalus
Hymenoptera,ITIS,order,Animalia,Arthropoda,Insecta,Hymenoptera,x,x,x
Hypsiglena torquata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Hypsiglena,Hypsiglena torquata
Hyptis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Hyptis,x
Ichneumonidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,x,x
Icterus cucullatus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus cucullatus
Ictidomys mexicanus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys mexicanus
Iguanidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Iguanidae,x,x
Ilex,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,x
Ilex vomitoria,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex vomitoria
Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x
Insectivora,ITIS,order,Animalia,Chordata,Mammalia,Insectivora,x,x,x
Ipomoea,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvuceae,Ipomoea,x
Iresine,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae ,Iresine,x
Ixodida,ITIS,order,Animalia,Arthropoda,Arachnida,Ixodida,x,x,x
Ixodidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Ixodida,Ixodidae,x,x
Jaegeria,not recognized,genus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,x
Jaltomata,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Jaltomata,x
Jatropha cuneata,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Jaltomata,Jatropha cuneata
Jatropha dioica,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Jaltomata,Jatropha dioica
Julidae,ITIS,family,Animalia,Arthropoda,Diplopoda,Julida,Julidae,x,x
Junco hyemalis,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,Junco hyemalis
Juniperus,ITIS,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressacaceae,Juniperus,x
Juniperus ashei,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus ashei
Juniperus deppeana,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressacaceae,Juniperus,Juniperus deppeana
Juniperus monosperma,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus monosperma
Juniperus osteosperma,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus osteosperma
Juniperus virginiana,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus virginiana
Justicia furcata,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia furcata
Karwinskia humboldtiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Karwinskia,Karwinskia humboldtiana
Lagomorpha,ITIS,order,Animalia,Chordata,Mammalia,Lagomorpha,x,x,x
Lamiaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,x,x
Lampropeltis getula,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis getula
Lampropeltis pyromelana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis pyromelana
Lampropeltis triangulum,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis triangulum
Lampropeltis zonata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis zonata
Lanius ludovicianus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius ludovicianus
Latrodectus hesperus,ITIS,species,Animalia,Arthropoda,Euchelicerata,Aranea,Theridiidae,Latrodectus,Latrodectus hesperus
Lepesoma,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Curculionoidea,Lepesoma,x
Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x
Leptoglossus,ITIS,genus,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,x
Leptotyphlopidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Leptotyphlopidae,x,x
Lepus americanus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus
Lepus californicus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus californicus
Lepus callotis,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus callotis
Lepus insularis,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus insularis
Libellulidae,ITIS,family,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,x,x
Lichen,not recognized,lichen,x,x,x,x,x,x,x
Liomys irroratus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys,Liomys irroratus
Liomys pictus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys,Liomys pictus
Lycium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Lycium,x
Lycosidae,ITIS,family,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,x,x
Lygaeidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,x,x
Lysiloma candida,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lysiloma,Lysiloma candida
Machilidae,ITIS,family,Animalia,Arthropoda,Insecta,Archaeognatha ,Machilidae,X,X
Magnoliopsida,ITIS,class,Plantae,Tracheophyta,Magnoliopsida,x,x,x,x
Malacomeles denticulata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malacomeles,Malacomeles denticulata
Malpighiaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,x,x
Malus pumila,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus pumila
Malvaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Mavales,Malvaceae,x,x
Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x
Mammillaria longimamma,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Mammillaria,Mammillaria longimamma
Mammillaria magnimamma,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,Mammillaria magnimamma
Mammillaria obconella,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,Mammillaria obconella
Manilkara,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Manilkara,x
Mantidae,ITIS,family,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,x,x
Mantis religiosa,ITIS,species,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Mantis,Mantis religiosa
Mantodea,ITIS,order,Animalia,Arthropoda,Insecta,Mantodea,x,x,x
Mastigoproctus giganteus,ITIS,species,Animalia,Arthropoda,Euchelicerata,Uropygi,Thelyphonidae,Mastigoproctus,Mastigoproctus giganteus
Megadontomys cryophilus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Megadontomys,Megadontomys cryophilus
Melanerpes aurifrons,ITIS,species,Animalia,Chordata,Aves,Piciformes ,Picidae,Melanerpes,Melanerpes aurifrons
Meleagris gallopavo,ITIS,species,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo
Melochia tomentosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Mavales,Mavaceae,Melochia,Melochia tomentosa
Melolonthinae,ITIS,subfamily,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,x,x
Melopsittacus undulatus,ITIS,species,Animalia,Chordata,Aves,Psittaciformes,Psittacinae,Melopsittacus,Melopsittacus undulatus
Melospiza melodia,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,Melospiza melodia
Melozone fusca,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,Melozone fusca
Mephitidae,ITIS,family,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,x,x
Mephitis,ITIS,genus,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,
Mephitis mephitis,ITIS,species,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,Mephitis mephitis
Microchiroptera,ITIS,suborder,Animalia,Chordata,Mammalia,Chiroptera,x,x,x
Microtus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,x
Microtus californicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus californicus
Microtus mexicanus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus mexicanus
Microtus oregoni,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus oregoni
Mimosa aculeaticarpa var. biuncifera,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa aculeaticarpa var. biuncifera
Mollusca,ITIS,phylum,Animalia,Mollusca,x,x,x,x,x
Molothrus,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,x
Molothrus aeneus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Molothrus
Molothrus ater,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Molothrus ater
Monnina schlechtendaliana,not recognized,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Monnina,Monnina schlechtendaliana
Montanoa tomentosa,not recognized,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Montanoa,Montanoa tomentosa
Moracea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,x,x
Morus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,x
Muridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Muridae,x,x
Mus musculus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
Mycetophilidae,ITIS,family,Animalia,Arthropoda,Insecta,Diptera,Mycetophilidae,x,x
Myiarchus,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,x
Myodes californicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes californicus
Myomorpha,ITIS,suborder,Animalia,Chordata,Mammalia,Rodentia,x,x,x
Myotis velifer,ITIS,species,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis velifer
Myriapoda,ITIS,subphylum,Animalia,Arthropoda,x,x,x,x,x
Myrmeleotidae,EOL,family,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleotidae,x,x
Myrtillocactus geometrizans,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Myrtillocactus,Myrtillocactus geometrizans
Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,x
Neotoma albigula,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma albigula
Neotoma bryanti,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma bryanti
Neotoma fuscipes,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma fuscipes
Neotoma lepida,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma lepida
Neotoma mexicana,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma mexicana
Neotoma micropus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma micropus
Neotomodon,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotomodon,x
Nertera granadensis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Nertera,Nertera granadensis
Neuroptera,ITIS,order,Animalia,Arthropoda,Insecta,Neuroptera,x,x,x
Neurotrichus gibbsii,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Neurotrichus,Neurotrichus gibbsii
Nitidulidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,x,x
Noctuidae,ITIS,family,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,x,x
Notiosorex crawfordi,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Notiosorex,Notiosorex crawfordi
Odocoileus,ITIS,genus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,x
Odocoileus hemionus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,Odocoileus hemionus
Odocoileus virginianus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,Odocoileus virginianus
Odonata,ITIS,order,Animalia,Arthropoda,Insecta,Odonata,x,x,x
Oedipodinae,ITIS,subfamily,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,x,x
Oleaceae ,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae ,x,x
Olneya tesota,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Olneya,Olneya tesota
Omus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Omus,x
Oniscidea,ITIS,suborder,Animalia,Arthropoda,Malacostraca,Isopoda,x,x,x
Onychomys,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,x
Ophryastes,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Curculionoidea,Ophryastes,x
Opiliones,ITIS,order,Animalia,Arthropoda,Arachnida,Opiliones,x,x,x
Opiliones,ITIS,order,Animalia,Arthropoda,Euchelicerata,Opiliones,x,x,x
Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x
Opuntia chlorotica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia chlorotica
Opuntia depressa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia depressa
Opuntia engelmannii,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Carophyllales,Cactaceae,Opuntia,Opuntia engelmannii
Opuntia engelmannii,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii
Opuntia ficus-indica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Carophyllales,Cactaceae,Opuntia,Opuntia ficus-indica
Opuntia phaeacantha,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia phaeacantha
Opuntia pubescens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia pubescens
Opuntia streptacantha,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia streptacantha
Oribatida,ITIS,suborder,Animalia,Arthropoda,Euchelicerata,Sarcoptiformes,x,x,x
Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x
Oryctolagus cuniculus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus
Oryzomys couesi,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys couesi
Oryzomys melanotis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys melanotis
Oryzomys rostratus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys rostratus
Otospermophilus beecheyi,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ostospermophilus,Otospermophilus beecheyi
Otospermophilus variegatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ostospermophilus,Otospermophilus variegatus
Ovis airies,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Bovidae,Ovis,Ovis aries
Ovis aries,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Bovidae,Ovis,Ovis aries
Ovis canadensis,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Bovidae,Ovis,Ovis canadensis
Pachycereus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pachycereus,x
Pachycereus marginatus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Pachycereus,Pachycereus marginatus
Pachycereus pringlei,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pachycereus,Pachycereus pringlei
Panicoideae,Unresolved,subfamily,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x
Paper,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced
Paracotalpa puncticollis,ITIS,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Paracotalpa,Paracotalpa puncticollis
Parulidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Parulidae,x,x
Pasimachus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pasimachus,x
Paspalum,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Paspalum,x
Passer,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,x
Passeriformes,ITIS,order,Animalia,Chordata,Aves,Passeriformes,x,x,x
Passerina cyanea,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina cyanea
Passiflora,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,x
Passiflora subpeltata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora subpeltata
Passifloracea,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,x,x
Pentatomidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,x,x
Periplaneta americana,ITIS,species,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana
Perognathus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,x
Perognathus flavus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus flavus
Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x
Peromyscus aztecus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus aztecus
Peromyscus boylii,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus boylii
Peromyscus crinitus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus crinitus
Peromyscus difficilis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus difficilis
Peromyscus eremicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus
Peromyscus gratus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus gratus
Peromyscus leucopus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus
Peromyscus levipes,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus levipes
Peromyscus maniculatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus
Peromyscus megalops,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus megalops
Peromyscus melanophrys,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus melanophrys
Peromyscus melanotis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus melanotis
Peromyscus mexicanus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus mexicanus
Peromyscus pectoralis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus pectoralis
Peromyscus truei,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus truei
Petrosaurus thalassinus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Petrosaurus,Petrosaurus thalassinus
Phalacrocorax,ITIS,genus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae ,Phalacrocorax,x
Phalaris canariensis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Phalaris,Phalaris canariensis
Phaseolus vulgaris,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris
Phasmatidae,ITIS,family,Animalia,Arthropoda,Insecta,Phasmida,Phasmatidae,x,x
Phaulothamnus spinescens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Achatocarpaceae,Phaulothamnus,Phaulothamnus spinescens
Phenacomys longicaudus,Unresolved,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,Phenacomys longicaudus
Phoenix canariensis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Arecales ,Arecaceae,Phoenix,Phoenix canariensis
Pholcidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Araneae,Pholcidae,x,x
Phorandendron diguetianum,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Phorandendron,Phorandendron diguetianum
Phoridae,ITIS,family,Animalia,Arthropoda,Insecta,Diptera,Phoridae,x,x
Phrynosoma coronatum,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,Phrynosoma coronatum
Phyllodactylus nocticolus,ITIS,species,Animalia,Tracheophyta,Reptilia,Squamata,Phyllodactylidae,Phyllodactylus,Phyllodactylus nocticolus
Phyllophaga,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Phyllophaga,x
Phyllophaga vetula,ITIS,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga vetula
Physalis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Physalis,x
Phytolacca,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,x
Phytolacca americana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca americana
Phytolacca icosandra,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales ,Phytolaccaceae,Phytolacca,Phytolacca icosandra
Phytolaccaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales ,Phytolaccaceae,x,x
Picus villosus harrisi,ITIS,subspecies,Animalia,Chordata,Aves,Piciformes,Picidae,Leuconotopicus,Leuconotopicus villosus
Pieridae,ITIS,family,ITIS,Arthropoda,Insecta,Lepidoptera,x,x,x
Pinus edulis,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus edulis
Pithecellobium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pithecellobium,x
Pituophis,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,x
Pituophis melanoleucus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis melanoleucus
Plantae,ITIS,kingdom,Plantae,x,x,x,x,x,x
Plantae ,ITIS,kingdom,Plantae,x,x,x,x,x,x
Plantea,ITIS,kingdom,Plantea,x,x,x,x,x,x
Plastic,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced
Pleocoma,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,
Plethodon,ITIS,genus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,x
Plethodontidae,ITIS,family,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,x,x
Plumbago,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Plumbago,x
Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x
Poales,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x
Podiceps nigricollis,ITIS,species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps nigricollis
Podilymbus podiceps,ITIS,species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,Podilymbus podiceps
Porella,ITIS,genus,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae,Porella,x
Pristoceuthophilus,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,Pristoceuthophilus,x
Processed food,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced
Prosopis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,x
Prosopis glandulosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis glandulosa
